,Artist 1970,Artist 1971,Artist 1972,Artist 1973,Artist 1974,Artist 1975,Artist 1976,Artist 1977,Artist 1978,Artist 1979,Artist 1980,Artist 1981,Artist 1982,Artist 1983,Artist 1984,Artist 1985,Artist 1986,Artist 1987,Artist 1988,Artist 1989,Artist 1990,Artist 1991,Artist 1992,Artist 1993,Artist 1994,Artist 1995,Artist 1996,Artist 1997,Artist 1998,Artist 1999,Artist 2000,Artist 2001,Artist 2002,Artist 2003,Artist 2004,Artist 2005,Artist 2006,Artist 2007,Artist 2008,Artist 2009,Artist 2010,Artist 2011,Artist 2012,Artist 2013,Artist 2014,Artist 2015,Artist 2016,Artist 2017,Artist 2018,Artist 2019
20,The Temptations,George Harrison,Hot Butter,John Denver,John Denver,Labelle,Commodores,The Sylvers,Chuck Mangione,Amii Stewart,Kenny Loggins,Stars On 45,Ray Parker Jr.,Styx,Kool & The Gang,Whitney Houston,Peter Gabriel,Debbie Gibson,Michael Jackson,Madonna,Sweet Sensation,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,Timbaland Featuring Nelly Furtado & Justin Timberlake,Colbie Caillat,Miley Cyrus,Jay-Z + Alicia Keys,Jeremih Featuring 50 Cent,Rihanna,Anna Kendrick,Idina Menzel,Fetty Wap Featuring Remy Boyz,twenty one pilots,Khalid,Bazzi,Chris Brown Featuring Drake
21,Free,Ocean,The Main Ingredient,Stealers Wheel,Olivia Newton-John,War,Maxine Nightingale,Rose Royce,Sweet,Maxine Nightingale,Jermaine Jackson,Neil Diamond,George Benson,Lionel Richie,Stevie Wonder,Bryan Adams,Starship,Bill Medley & Jennifer Warnes,Debbie Gibson,New Kids On The Block,Nelson,Fergie,Fergie,Fergie,Fergie,Fergie,Fergie,Fergie,Fergie,Fergie,Fergie,Fergie,Fergie,Fergie,Fergie,Fergie,Fergie,Justin Timberlake,Mariah Carey,Drake,Usher Featuring Pitbull,Lil Wayne,Neon Trees,Jay Z Featuring Justin Timberlake,Avicii,Meghan Trainor,Zayn,Charlie Puth,Imagine Dragons,Maroon 5 Featuring Cardi B
22,Jackson 5,Carpenters,Climax,Three Dog Night,Gordon Lightfoot,Major Harris,Ohio Players,The Steve Miller Band,Bonnie Tyler,Melissa Manchester,Christopher Cross,Air Supply,Air Supply,Taco,Rockwell,Wham!,The Human League,Peter Cetera With Amy Grant,Richard Marx,Breathe,Taylor Dayne,Red Hot Chili Peppers,Red Hot Chili Peppers,Red Hot Chili Peppers,Red Hot Chili Peppers,Red Hot Chili Peppers,Red Hot Chili Peppers,Red Hot Chili Peppers,Red Hot Chili Peppers,Red Hot Chili Peppers,Red Hot Chili Peppers,Red Hot Chili Peppers,Red Hot Chili Peppers,Red Hot Chili Peppers,Red Hot Chili Peppers,Red Hot Chili Peppers,Red Hot Chili Peppers,Gym Class Heroes Featuring Patrick Stump,Madonna Featuring Justin Timberlake & Timbaland,Kelly Clarkson,Travie McCoy Featuring Bruno Mars,Adele,Drake Featuring Rihanna,will.i.am & Britney Spears,Imagine Dragons,Fifth Harmony Featuring Kid Ink,Shawn Mendes,Shawn Mendes,BlocBoy JB Featuring Drake,Ava Max
23,Bobby Sherman,Gordon Lightfoot,The Moody Blues,The O'Jays,Andy Kim,Stevie Wonder,Bee Gees,David Soul,Gerry Rafferty,Supertramp,Dan Fogelberg,Air Supply,The Motels,Marvin Gaye,Matthew Wilder,New Edition,Nu Shooz,Club Nouveau,Johnny Hates Jazz,Milli Vanilli,Jane Child,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,The Fray,P!nk,Beyonce,Eminem,OneRepublic,David Guetta Featuring Sia,Zedd Featuring Foxes,One Direction,Omarion Featuring Chris Brown & Jhene Aiko,Drake,Cardi B,Taylor Swift,DaBaby
24,Sugarloaf,Sammi Smith,Raspberries,Eddie Kendricks,Eddie Kendricks,Helen Reddy,Lou Rawls,Stephen Bishop,Meat Loaf,Billy Joel,Kenny Rogers,Barbra Streisand & Barry Gibb,Fleetwood Mac,The Human League,Nena,Jan Hammer,Falco,Madonna,George Michael,Martika,Seduction,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Daughtry,Finger Eleven,Katy Perry,Iyaz,Bruno Mars,Jason Mraz,AWOLNATION,Sia,Andy Grammer,Major Lazer Featuring Justin Bieber & MO,Childish Gambino,Lil Baby & Drake,J. Cole
25,Blues Image,Jackson 5,Cornelius Brothers & Sister Rose,Anne Murray,Ringo Starr,Ozark Mountain Daredevils,David Bowie,Foreigner,ABBA,Randy VanWarmer,Kool & The Gang,Styx,The Alan Parsons Project,Men Without Hats,Dan Hartman,Billy Ocean,Madonna,Cutting Crew,Samantha Fox,Paula Abdul,Linear,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Justin Timberlake Featuring T.I.,Fergie,Shinedown,David Guetta Featuring Akon,Britney Spears,Bruno Mars,Swedish House Mafia Featuring John Martin,Iggy Azalea Featuring Rita Ora,Sam Smith,Adele,Zayn / Taylor Swift,Marshmello & Anne-Marie,Lil Baby & Gunna
26,John Ono Lennon,Lynn Anderson,The O'Jays,King Harvest,Olivia Newton-John,Ohio Players,Starbuck,Climax Blues Band,Dan Hill,Raydio,Kool & The Gang,The Oak Ridge Boys,"Earth, Wind & Fire",Toni Basil,Sheila E.,Teena Marie,Bon Jovi,T'Pau,Phil Collins,Mike + The Mechanics,Poison,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,Kanye West,Jason Mraz,Britney Spears,The Script,Lupe Fiasco,"Kanye West, Big Sean, Pusha T, 2 Chainz",Rihanna,"Jessie J, Ariana Grande & Nicki Minaj",Selena Gomez Featuring A$AP Rocky,The Chainsmokers Featuring Rozes,Kygo x Selena Gomez,Halsey,Lewis Capaldi
27,Clarence Carter,"Hamilton, Joe Frank & Reynolds",Jonathan Edwards,Bloodstone,Cher,Pilot,Dr. Hook,Commodores,Donna Summer,Peaches & Herb,Kim Carnes,REO Speedwagon,Journey,Phil Collins,Steve Perry,Glenn Frey,Janet Jackson,Kim Wilde,Def Leppard,Tone-Loc,New Kids On The Block,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Jim Jones,Jesse McCartney,Kid Cudi,Ke$ha,Lady Gaga,Justin Bieber,Icona Pop Featuring Charli XCX,Disclosure Featuring Sam Smith,Meghan Trainor,Shawn Mendes,KYLE Featuring Lil Yachty,Tyga Featuring Offset,Lil Tecca
28,Creedence Clearwater Revival,Ringo Starr,Badfinger,Seals & Crofts,Roberta Flack,Carpenters,Bellamy Brothers,Jennifer Warnes,Olivia Newton-John,Dionne Warwick,M,Barbra Streisand,Dan Fogelberg,Journey,Lionel Richie,Ready For The World,Heart,The Georgia Satellites,Richard Marx,Bad English,Roxette,Snow Patrol,Snow Patrol,Snow Patrol,Snow Patrol,Snow Patrol,Snow Patrol,Snow Patrol,Snow Patrol,Snow Patrol,Snow Patrol,Snow Patrol,Snow Patrol,Snow Patrol,Snow Patrol,Snow Patrol,Snow Patrol,P!nk,Kardinal Offishall Featuring Akon,Miley Cyrus,The Black Eyed Peas,Ke$ha,LMFAO Featuring Lauren Bennett & GoonRock,Capital Cities,Maroon 5,Taylor Swift,Drake Featuring Rihanna,Julia Michaels,NF,Shawn Mendes
29,Brook Benton,Nitty Gritty Dirt Band,Elton John,The Doobie Brothers,The Main Ingredient,America,Vicki Sue Robinson,Natalie Cole,Foreigner,Bee Gees,Pretenders,Foreigner,Stevie Nicks With Don Henley,Prince,Elton John,Debarge,Madonna,Aretha Franklin & George Michael,Debbie Gibson,Cher,Billy Joel,Hinder,Hinder,Hinder,Hinder,Hinder,Hinder,Hinder,Hinder,Hinder,Hinder,Hinder,Hinder,Hinder,Hinder,Hinder,Hinder,Unk,Jordin Sparks,3OH!3,Owl City,Wiz Khalifa,Alex Clare,Bruno Mars,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,Drake,Future Featuring The Weeknd,Alessia Cara,G-Eazy Featuring A$AP Rocky & Cardi B,Post Malone Featuring Young Thug
30,Chairmen Of The Board,The Dramatics,Michael Jackson,George Harrison,Billy Preston,Elton John,Captain & Tennille,Manfred Mann's Earth Band,Roberta Flack With Donny Hathaway,Cheap Trick,"Ray, Goodman & Brown",Rod Stewart,Air Supply,Stray Cats,Cyndi Lauper,Phil Collins,Belinda Carlisle,Janet Jackson,Whitney Houston,Neneh Cherry,James Ingram,Cascada,Cascada,Cascada,Cascada,Cascada,Cascada,Cascada,Cascada,Cascada,Cascada,Cascada,Cascada,Cascada,Cascada,Cascada,Cascada,Sean Kingston,Miley Cyrus,"Jay-Z, Rihanna & Kanye West",Trey Songz Featuring Fabolous,Hot Chelle Rae,Katy Perry,Ariana Grande Featuring Mac Miller,American Authors,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",Justin Bieber,Logic Featuring Alessia Cara & Khalid,6ix9ine Featuring Nicki Minaj & Murda Beatz,Kodak Black Featuring Travis Scott & Offset
31,Edison Lighthouse,Carly Simon,Daniel Boone,Sly & The Family Stone,Carpenters,Barry Manilow,Eric Carmen,Barry Manilow,Kansas,Barbra Streisand,Stevie Wonder,Commodores,Charlene,Billy Joel,Madonna,The Honeydrippers,Level 42,Prince,Aerosmith,Sheriff,Rod Stewart,Christina Aguilera,Christina Aguilera,Christina Aguilera,Christina Aguilera,Christina Aguilera,Christina Aguilera,Christina Aguilera,Christina Aguilera,Christina Aguilera,Christina Aguilera,Christina Aguilera,Christina Aguilera,Christina Aguilera,Christina Aguilera,Christina Aguilera,Christina Aguilera,Fall Out Boy,Metro Station,Kevin Rudolf Featuring Lil Wayne,Drake,Ke$ha,Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,Drake,Tove Lo,Flo Rida Featuring Sage The Gemini & Lookas,The Weeknd,Niall Horan,Dan + Shay,Post Malone
32,Anne Murray,Stevie Wonder,Dennis Coffey & The Detroit Guitar Band,Jermaine Jackson,The Steve Miller Band,Olivia Newton-John,Donna Summer,Atlanta Rhythm Section,Randy Newman,Elton John,Shalamar,Don McLean,Paul Davis,Stevie Nicks,Corey Hart,Duran Duran,Bananarama,Genesis,Michael Jackson,Taylor Dayne,Janet Jackson,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,T-Pain Featuring Akon,OneRepublic,Sean Kingston,Lady Gaga,Bad Meets Evil Featuring Bruno Mars,Taylor Swift,Selena Gomez,Calvin Harris,Justin Bieber,P!nk,Rihanna,Portugal. The Man,5 Seconds Of Summer
33,Eddie Holman,Aretha Franklin,Cat Stevens,Gladys Knight And The Pips,Gladys Knight And The Pips,Barry Manilow,Donny & Marie Osmond,Fleetwood Mac,The O'Jays,Leif Garrett,Cliff Richard,Marty Balin,Asia,Billy Joel,Billy Idol,Duran Duran,Lionel Richie,Huey Lewis & The News,Eric Carmen,Bon Jovi,Tommy Page,Kanye West Featuring Jamie Foxx,Kanye West Featuring Jamie Foxx,Kanye West Featuring Jamie Foxx,Kanye West Featuring Jamie Foxx,Kanye West Featuring Jamie Foxx,Kanye West Featuring Jamie Foxx,Kanye West Featuring Jamie Foxx,Kanye West Featuring Jamie Foxx,Kanye West Featuring Jamie Foxx,Kanye West Featuring Jamie Foxx,Kanye West Featuring Jamie Foxx,Kanye West Featuring Jamie Foxx,Kanye West Featuring Jamie Foxx,Kanye West Featuring Jamie Foxx,Kanye West Featuring Jamie Foxx,Kanye West Featuring Jamie Foxx,Huey,Sean Kingston,Jason Derulo,Jason Derulo,The Band Perry,Justin Bieber Featuring Big Sean,Drake Featuring Majid Jordan,Charli XCX,Ed Sheeran,D.R.A.M. Featuring Lil Yachty,The Weeknd Featuring Daft Punk,"Migos, Nicki Minaj & Cardi B",Drake Featuring Rick Ross
34,Badfinger,Aretha Franklin,Rick Nelson,New York City,Three Dog Night,Harry Chapin,Rufus Featuring Chaka Khan,Brick,Natalie Cole,"Earth, Wind & Fire",The Brothers Johnson,Diana Ross,Little River Band,Naked Eyes,Eurythmics,Chicago,Miami Sound Machine,Madonna,UB40,Fine Young Cannibals,Jody Watley,Ludacris Featuring Pharrell,Ludacris Featuring Pharrell,Ludacris Featuring Pharrell,Ludacris Featuring Pharrell,Ludacris Featuring Pharrell,Ludacris Featuring Pharrell,Ludacris Featuring Pharrell,Ludacris Featuring Pharrell,Ludacris Featuring Pharrell,Ludacris Featuring Pharrell,Ludacris Featuring Pharrell,Ludacris Featuring Pharrell,Ludacris Featuring Pharrell,Ludacris Featuring Pharrell,Ludacris Featuring Pharrell,Ludacris Featuring Pharrell,Ludacris Featuring Mary J. Blige,M.I.A.,Lady Gaga,Nelly,Gym Class Heroes Featuring Adam Levine,David Guetta Featuring Nicki Minaj,Maroon 5,Beyonce Featuring Jay Z,Adele,Bryson Tiller,Big Sean,Lauv,Dan + Shay
35,Tyrone Davis,Tommy James,Johnny Nash,Spinners,Stevie Wonder,Michael Murphey,Dr. Hook,Peter Frampton,Pablo Cruise,Kenny Rogers,Eagles,Kenny Rogers,Buckner & Garcia,Lionel Richie,Billy Joel,The Pointer Sisters,Cyndi Lauper,The Jets,Bon Jovi,Sheena Easton,Soul II Soul,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Nickelback,Katy Perry,Katy Perry,Ludacris,The Black Eyed Peas,Maroon 5 Featuring Christina Aguilera,Pitbull Featuring Christina Aguilera,Nicki Minaj,Shawn Mendes,Ariana Grande,Liam Payne Featuring Quavo,5 Seconds Of Summer,Ariana Grande
36,Mungo Jerry,Ike & Tina Turner,Elvis Presley,Elton John,Dionne Warwick And The Spinners,10cc,Henry Gross,Kenny Rogers,Andy Gibb,Nicolette Larson,Rocky Burnette,Champaign,Stevie Wonder,Don Henley,Night Ranger,Pat Benatar,Kenny Loggins,Samantha Fox,Elton John,Young M.C.,Luther Vandross,Sean Paul Featuring Keyshia Cole,Sean Paul Featuring Keyshia Cole,Sean Paul Featuring Keyshia Cole,Sean Paul Featuring Keyshia Cole,Sean Paul Featuring Keyshia Cole,Sean Paul Featuring Keyshia Cole,Sean Paul Featuring Keyshia Cole,Sean Paul Featuring Keyshia Cole,Sean Paul Featuring Keyshia Cole,Sean Paul Featuring Keyshia Cole,Sean Paul Featuring Keyshia Cole,Sean Paul Featuring Keyshia Cole,Sean Paul Featuring Keyshia Cole,Sean Paul Featuring Keyshia Cole,Sean Paul Featuring Keyshia Cole,Sean Paul Featuring Keyshia Cole,Fall Out Boy,T.I. Featuring Rihanna,Jeremih,Far*East Movement Featuring Cataracs & Dev,Diddy - Dirty Money Featuring Skylar Grey,P!nk,Lady Gaga,Ariana Grande Featuring Zedd,Tove Lo,Drake & Future,Drake,Imagine Dragons,Cardi B & Bruno Mars
37,R. Dean Taylor,Chicago,Betty Wright,Gladys Knight And The Pips,Paper Lace,Billy Swan,Chicago,Shaun Cassidy,John Paul Young,Little River Band,Dr. Hook,Pat Benatar,Lindsey Buckingham,Kajagoogoo,The Cars,Commodores,Janet Jackson,Michael Jackson With Siedah Garrett,Rick Astley,Jody Watley,Janet Jackson,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Linkin Park,Plies Featuring Ne-Yo,P!nk,Timbaland Featuring Justin Timberlake,Pitbull Featuring T-Pain,Owl City & Carly Rae Jepsen,Maroon 5,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,Nick Jonas,gnash Featuring Olivia O'Brien,Maroon 5 Featuring Kendrick Lamar,Offset & Metro Boomin,Cardi B
38,Rare Earth,Stampeders,Argent,Deep Purple,Marvin Hamlisch,"Hamilton, Joe Frank & Reynolds",Boz Scaggs,James Taylor,David Gates,Bonnie Pointer,Rupert Holmes,The Alan Parsons Project,Roberta Flack,Adam Ant,Olivia Newton-John,Howard Jones,Howard Jones,Madonna,George Michael,Bobby Brown,Vanilla Ice,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Justin Timberlake,Estelle Featuring Kanye West,Britney Spears,Michael Buble,Rihanna,Demi Lovato,Lil Wayne Featuring Drake & Future,Ellie Goulding,Pitbull & Ne-Yo,Alessia Cara,Taylor Swift,Post Malone,Taylor Swift
39,Bobby Sherman,Bread,Bread,Charlie Rich,ABBA,Morris Albert,Peter Frampton,Alice Cooper,Paul Simon,Toto,Donna Summer,Bruce Springsteen,Juice Newton,The Clash,Duran Duran,Jack Wagner,Sly Fox,Genesis,INXS,New Kids On The Block,Milli Vanilli,The Pussycat Dolls,The Pussycat Dolls,The Pussycat Dolls,The Pussycat Dolls,The Pussycat Dolls,The Pussycat Dolls,The Pussycat Dolls,The Pussycat Dolls,The Pussycat Dolls,The Pussycat Dolls,The Pussycat Dolls,The Pussycat Dolls,The Pussycat Dolls,The Pussycat Dolls,The Pussycat Dolls,The Pussycat Dolls,Lloyd Featuring Lil Wayne,Lil Wayne Featuring T-Pain,T.I.,Flo Rida Featuring David Guetta,Lil Wayne Featuring Cory Gunz,Jay Z Kanye West,Fall Out Boy,Jason Derulo Featuring Snoop Dogg,R. City Featuring Adam Levine,Selena Gomez,Ed Sheeran,The Weeknd & Kendrick Lamar,Lil Nas X
40,Four Tops,Marvin Gaye,The Dramatics,Loggins & Messina,The Hollies,Linda Ronstadt,Aerosmith,Johnny Rivers,Heatwave,Sister Sledge,The Rolling Stones,Franke & The Knockouts,Rod Stewart,Madness,Chicago,Aretha Franklin,Miami Sound Machine,Janet Jackson,Richard Marx,Rod Stewart,M.C. Hammer,T-Pain Featuring Mike Jones,T-Pain Featuring Mike Jones,T-Pain Featuring Mike Jones,T-Pain Featuring Mike Jones,T-Pain Featuring Mike Jones,T-Pain Featuring Mike Jones,T-Pain Featuring Mike Jones,T-Pain Featuring Mike Jones,T-Pain Featuring Mike Jones,T-Pain Featuring Mike Jones,T-Pain Featuring Mike Jones,T-Pain Featuring Mike Jones,T-Pain Featuring Mike Jones,T-Pain Featuring Mike Jones,T-Pain Featuring Mike Jones,T-Pain Featuring Mike Jones,Elliott Yamin,Taylor Swift,Mariah Carey,Jay Sean Featuring Lil Wayne,Lady Antebellum,Katy Perry,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",Clean Bandit Featuring Jess Glynne,Natalie La Rose Featuring Jeremih,Drake,Machine Gun Kelly x Camila Cabello,Selena Gomez,A Boogie Wit da Hoodie
41,Chicago,Freda Payne,Al Green,Chicago,Steely Dan,Sammy Johns,The O'Jays,Andrew Gold,Jay Ferguson,Dr. Hook,Herb Alpert,Terri Gibbs,The J. Geils Band,Men At Work,Scandal Featuring Patty Smyth,Corey Hart,Dire Straits,Huey Lewis & The News,Chicago,New Kids On The Block,Taylor Dayne,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,Diddy Featuring Keyshia Cole,Danity Kane,Ne-Yo,La Roux,Jason Aldean,Calvin Harris,Justin Bieber Featuring Nicki Minaj,Jeremih Featuring YG,Rihanna & Kanye West & Paul McCartney,Meghan Trainor Featuring John Legend,The Chainsmokers,Travis Scott,21 Savage
42,Frijid Pink,Rare Earth,Roberta Flack & Donny Hathaway,War,Joni Mitchell,Barry White,Fleetwood Mac,Stevie Wonder,Atlanta Rhythm Section,Kenny Rogers,Air Supply,Leo Sayer,REO Speedwagon,Duran Duran,Peabo Bryson,Phil Collins,Boston,Chicago,Kylie Minogue,Def Leppard,Janet Jackson,Fort Minor Featuring Holly Brook,Fort Minor Featuring Holly Brook,Fort Minor Featuring Holly Brook,Fort Minor Featuring Holly Brook,Fort Minor Featuring Holly Brook,Fort Minor Featuring Holly Brook,Fort Minor Featuring Holly Brook,Fort Minor Featuring Holly Brook,Fort Minor Featuring Holly Brook,Fort Minor Featuring Holly Brook,Fort Minor Featuring Holly Brook,Fort Minor Featuring Holly Brook,Fort Minor Featuring Holly Brook,Fort Minor Featuring Holly Brook,Fort Minor Featuring Holly Brook,Fort Minor Featuring Holly Brook,Fat Joe Featuring Lil Wayne,Lil Wayne,Cobra Starship Featuring Leighton Meester,Jason Derulo,Taio Cruz,Adele,Macklemore & Ryan Lewis Featuring Mary Lambert,Kid Ink Featuring Chris Brown,Fall Out Boy,Charlie Puth,Ariana Grande Featuring Nicki Minaj,Migos Featuring Drake,Taylor Swift Featuring Brendon Urie
43,Chicago,Delaney & Bonnie & Friends,T. Rex,Wings,Anne Murray,Olivia Newton-John,Cliff Richard,Fleetwood Mac,Bob Seger & The Silver Bullet Band,Village People,Little River Band,Tierra,Huey Lewis & The News,Laura Branigan,The Pointer Sisters,Sheena Easton,Stacey Q,Fleetwood Mac,Pet Shop Boys & Dusty Springfield,Richard Marx,Michel'le,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Fabolous Featuring Ne-Yo,Buckcherry,Kanye West,Justin Bieber Featuring Ludacris,Waka Flocka Flame Featuring Roscoe Dash & Wale,Usher,Calvin Harris Featuring Florence Welch,Miley Cyrus,Fetty Wap Featuring Monty,James Bay,Clean Bandit Featuring Sean Paul & Anne-Marie,Lil Pump,Bad Bunny Featuring Drake
44,White Plains,Freddie Hart,Paul Simon,Johnnie Taylor,Helen Reddy,Linda Ronstadt,Elvin Bishop,Heart,Toby Beau,Frank Mills,J.D. Souther,Styx,Paul Davis,Rick Springfield,Shannon,Whitney Houston,The Jets,Suzanne Vega,The Jets,Madonna,George Michael,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Omarion,Webbie Featuring Lil' Phat & Lil' Boosie,P!nk,Adam Lambert,Britney Spears,Tyga,Lana Del Rey & Cedric Gervais,Justin Timberlake,Sam Hunt,Meghan Trainor,Portugal. The Man,G-Eazy & Halsey,Polo G Featuring Lil Tjay
45,Brotherhood Of Man,Three Dog Night,Al Green,Carpenters,William DeVaughn,The Blackbyrds,C.W. McCall,The Brothers Johnson,The Trammps,Charlie Daniels Band,Andy Gibb,Dottie West,Diana Ross,The Tubes,Julio Iglesias & Willie Nelson,Survivor,Orchestral Manoeuvres In The Dark,Richard Marx,Information Society,Dino,Michael Bolton,D4L,D4L,D4L,D4L,D4L,D4L,D4L,D4L,D4L,D4L,D4L,D4L,D4L,D4L,D4L,D4L,Hinder,T-Pain Featuring Lil Wayne,Pitbull,Taylor Swift,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",Jessie J,Phillip Phillips,Katy Perry,Maroon 5,Zara Larsson & MNEK,DJ Snake Featuring Justin Bieber,Shawn Mendes,Luke Combs
