,Title,Artist,Energy,Tempo,Danceability,Instrumentalness,Valence
74,Born To Be Wild,Steppenwolf,0.71,145.928,0.438,0.537,0.53
75,White Christmas,Bing Crosby,0.249,92.86,0.217,0.0474,0.237
76,Nothing Compares 2 U - 2009 Remaster,Sinéad O'Connor,0.488,119.951,0.527,0.000131,0.131
77,Always On My Mind,Willie Nelson,0.261,73.336,0.518,0.00106,0.2
78,Piece of My Heart,Big Brother & The Holding Company,0.727,160.82,0.443,0.000141,0.566
79,I Will Always Love You,Whitney Houston,0.214,66.98,0.306,5.3e-06,0.108
80,Highway to Hell,AC/DC,0.913,115.728,0.574,0.00158,0.423
81,Walk on By,Dionne Warwick,0.384,98.393,0.691,3.55e-06,0.618
82,You Can't Hurry Love,The Supremes,0.708,194.95,0.46,0.0,0.542
83,Louie Louie,The Kingsmen,0.709,122.394,0.623,0.0,0.948
84,Knockin' On Heaven's Door,Bob Dylan,0.396,140.208,0.513,0.177,0.229
85,Suspicious Minds,Elvis Presley,0.382,116.557,0.487,4.74e-06,0.714
86,She's A Rainbow - Stereo Full Version / With Intro,The Rolling Stones,0.781,109.132,0.466,0.011,0.626
87,Black Magic Woman / Gypsy Queen,Santana,0.462,124.033,0.464,0.527,0.557
88,Walk On the Wild Side,Lou Reed,0.318,104.522,0.575,0.000202,0.385
89,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,0.442,118.362,0.474,0.000212,0.773
90,Live And Let Die,Paul McCartney,0.599,153.028,0.356,0.000573,0.216
91,I Walk the Line,Johnny Cash,0.484,105.834,0.862,0.000996,0.787
92,La Vie en rose,Édith Piaf,0.278,82.331,0.371,0.0,0.338
93,American Pie,Don McLean,0.481,138.45,0.531,0.0,0.491
94,Can't Help Falling in Love,Elvis Presley,0.293,100.307,0.396,0.000196,0.343
95,Happy Together,The Turtles,0.367,120.175,0.584,1.38e-05,0.588
96,Hey Jude - Remastered 2015,The Beatles,0.607,147.207,0.386,1.38e-05,0.532
97,My Way,Frank Sinatra,0.454,150.661,0.279,0.0,0.216
98,Over The Rainbow,Judy Garland,0.157,75.256,0.197,0.000183,0.288
99,Make Me Smile (Come up and See Me) - 2014 Remaster,Steve Harley,0.818,141.463,0.571,0.000177,0.773
100,When a Man Loves a Woman,Percy Sledge,0.15,97.398,0.516,0.0755,0.206
101,Bright Eyes,Art Garfunkel,0.21,112.51,0.38,0.45,0.207
102,Goodbye Yellow Brick Road - Remastered 2014,Elton John,0.482,121.666,0.572,0.00255,0.383
103,Behind Blue Eyes,The Who,0.53,128.556,0.41,2.36e-05,0.263
104,Don't Look Back in Anger,Oasis,0.913,164.005,0.349,8.06e-06,0.225
105,Hey Joe,Jimi Hendrix,0.768,169.492,0.346,0.38,0.532
106,Vienna - 2008 Remaster,Ultravox,0.583,80.132,0.605,0.188,0.334
107,We Are The Champions - Remastered 2011,Queen,0.459,64.177,0.268,0.0,0.175
108,San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version,Scott McKenzie,0.52,112.554,0.525,0.00569,0.523
109,Jailhouse Rock,Elvis Presley,0.672,166.903,0.635,5.03e-06,0.895
110,West End Girls - 2001 Remaster,Pet Shop Boys,0.949,113.257,0.651,0.125,0.61
111,Have You Ever Seen The Rain,Creedence Clearwater Revival,0.697,116.109,0.741,2.28e-05,0.774
112,Peggy Sue - Single Version,Buddy Holly,0.424,148.373,0.676,0.000494,0.493
113,Born in the U.S.A.,Bruce Springsteen,0.952,122.093,0.398,7.75e-05,0.584
114,The Logical Song - Remastered 2010,Supertramp,0.758,119.719,0.625,0.00022,0.695
115,Heart Of Glass [24-Bit Digitally Remastered 01] - Remastered 2001,Blondie,0.633,115.007,0.662,0.0233,0.657
116,C'mon Everybody,Eddie Cochran,0.645,175.84,0.622,0.000116,0.863
117,Let's Stay Together,Al Green,0.397,101.985,0.756,0.0115,0.507
118,Respect,Aretha Franklin,0.558,114.95,0.805,2.2e-05,0.965
119,Blue Monday - 2016 Remaster,New Order,0.703,130.27,0.793,0.88,0.856
120,(Sittin' On) the Dock of the Bay,Otis Redding,0.367,103.621,0.769,1.62e-05,0.535
121,Ain't No Sunshine,Bill Withers,0.416,79.593,0.479,1.72e-05,0.514
122,Go Your Own Way - 2004 Remaster,Fleetwood Mac,0.947,135.448,0.583,0.00109,0.803
123,Welcome To The Jungle,Guns N' Roses,0.954,123.453,0.447,0.403,0.331
124,Come Together - Remastered,The Beatles,0.376,165.007,0.533,0.248,0.187
125,Whole Lot of Shakin' Going On,Jerry Lee Lewis,0.626,161.468,0.377,6.46e-05,0.678
126,La Bamba - Single Version,Ritchie Valens,0.809,75.099,0.516,0.000331,0.939
127,All By Myself - Single Edit,Eric Carmen,0.398,115.962,0.442,0.763,0.178
128,Easy,Commodores,0.384,132.909,0.589,2.8e-05,0.354
129,Seasons in the Sun,Terry Jacks,0.427,99.167,0.623,0.0,0.899
130,Downtown,Petula Clark,0.589,117.699,0.481,0.0,0.666
131,In The Air Tonight - 2015 Remastered,Phil Collins,0.239,189.507,0.446,4.1e-06,0.298
