,Title,Artist,Energy,Tempo,Danceability,Instrumentalness,Valence
326,Aquarius/Let The Sunshine In (The Flesh Failures) [Remastered],The 5th Dimension,0.74,118.23,0.293,0.00151,0.516
327,Love Is All Around,The Troggs,0.484,98.82,0.459,0.000577,0.688
328,When Doves Cry,Prince,0.989,126.47,0.729,4.45e-05,0.84
329,More Than a Feeling,Boston,0.682,108.736,0.377,0.00217,0.288
330,Lili Marleen.,Marlene Dietrich,0.0863,83.915,0.31,0.0,0.321
331,Everything I Own,Bread,0.338,79.241,0.365,0.0,0.446
332,She's Not There,The Zombies,0.803,132.316,0.523,0.0,0.898
333,Oh Happy Day,The Edwin Hawkins Singers,0.462,116.782,0.321,0.0,0.457
334,Baker Street,Gerry Rafferty,0.349,113.762,0.497,0.028,0.421
335,Both Sides Now,Joni Mitchell,0.156,97.235,0.623,0.0,0.329
336,In The Mood,Glenn Miller,0.342,81.393,0.665,0.0815,0.859
337,In the Summertime,Mungo Jerry,0.503,166.016,0.6,0.0,0.942
338,Only the Lonely,Roy Orbison,0.529,123.273,0.57,0.00509,0.934
339,Brown Eyed Handsome Man - Single Version,Chuck Berry,0.902,180.993,0.52,6.25e-06,0.873
340,Those Were The Days - Remastered,Mary Hopkin,0.292,169.685,0.374,0.000581,0.497
341,Tell Him - Single Version,The Exciters,0.616,177.061,0.708,0.0,0.908
342,Under the Boardwalk,The Drifters,0.356,123.885,0.726,0.0,0.75
343,"Help Me, Rhonda - Remastered",The Beach Boys,0.748,139.739,0.544,0.000716,0.825
344,Take Five,The Dave Brubeck Quartet,0.26,174.322,0.454,0.00078,0.598
345,Telstar,The Tornados,0.751,145.719,0.196,0.667,0.629
346,Proud Mary,Creedence Clearwater Revival,0.641,120.745,0.699,0.000218,0.728
347,She - Tous les visages de l’amour,Charles Aznavour,0.393,132.069,0.348,0.0,0.357
348,"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,0.588,104.413,0.727,5.46e-06,0.964
349,Under the Bridge,Red Hot Chili Peppers,0.345,84.581,0.559,0.000105,0.458
350,Why Do Fools Fall in Love,Frankie Lymon & The Teenagers,0.458,174.147,0.439,6.02e-05,0.866
351,Surfin' U.S.A. - Remastered,The Beach Boys,0.868,158.563,0.55,0.0,0.962
352,One Love / People Get Ready,Bob Marley & The Wailers,0.523,76.292,0.725,0.0,0.95
353,He Ain't Heavy He's My Brother,The Hollies,0.275,75.754,0.319,0.000365,0.253
354,Let's Get It On,Marvin Gaye,0.605,166.91,0.54,1.71e-06,0.629
355,King Of The Road,Roger Miller,0.249,120.519,0.707,3.51e-06,0.736
356,Bo Diddley,Bo Diddley,0.706,105.682,0.81,0.0,0.608
357,Baby I Need Your Loving,Four Tops,0.699,121.376,0.628,0.0,0.639
358,Don't You Want Me,The Human League,0.738,117.656,0.731,0.0,0.958
359,I Shot The Sheriff,The Wailers,0.644,96.87,0.797,6.51e-05,0.706
360,Space Oddity - 1999 Remaster,David Bowie,0.423,136.205,0.31,1.35e-05,0.457
361,Gold - 2003 Remaster,Spandau Ballet,0.802,143.116,0.724,0.0016,0.729
362,I'm a Believer,The Monkees,0.772,79.462,0.503,2.47e-06,0.935
363,Unforgettable,Nat King Cole,0.182,136.092,0.349,0.0152,0.178
364,Tequila,The Champs,0.742,89.748,0.671,0.679,0.897
365,Paperback Writer - Remastered,The Beatles,0.685,157.394,0.502,6.45e-06,0.805
366,What's Going On,Marvin Gaye,0.833,205.375,0.245,0.0,0.805
367,Blue Eyes - Remastered 2003,Elton John,0.229,106.665,0.518,0.00363,0.159
368,"I'd Do Anything For Love (But I Won't Do That) - Live From The Beacon Theatre, New York, U.S.A./1995",Meat Loaf,0.553,76.115,0.265,0.0,0.237
369,Roll Over Beethoven - Single Version,Chuck Berry,0.882,92.676,0.72,0.0,0.824
370,The Locomotion,Little Eva,0.782,128.973,0.629,0.0215,0.736
371,Keep On Running - Mono Version,The Spencer Davis Group,0.761,138.681,0.66,0.0,0.679
372,I'm So Lonesome I Could Cry - Single Version,Hank Williams,0.125,111.178,0.645,0.000391,0.518
373,Enola Gay - Remastered,Orchestral Manoeuvres In The Dark,0.764,143.319,0.559,0.0299,0.932
374,"Memphis, Tennessee - Single Version",Chuck Berry,0.276,97.961,0.789,1.23e-06,0.782
375,Boulevard of Broken Dreams,Green Day,0.679,167.046,0.49,1.54e-05,0.506
376,Beat It,Michael Jackson,0.711,138.728,0.776,0.000353,0.901
377,God Save The Queen,Sex Pistols,0.901,147.199,0.304,0.000376,0.541
378,As Tears Go By - Remastered 2002,The Rolling Stones,0.279,112.692,0.373,0.00339,0.386
379,Upside Down,Diana Ross,0.904,107.955,0.887,0.0101,0.89
380,Sgt. Pepper's Lonely Hearts Club Band - Remastered,The Beatles,0.673,95.513,0.451,0.00225,0.583
381,Friday I'm In Love,The Cure,0.763,136.205,0.526,6.75e-05,0.514
382,Use Somebody,Kings of Leon,0.715,137.028,0.276,0.000417,0.173
383,Thank You For The Music,ABBA,0.437,201.442,0.291,0.0,0.278
384,Gloria (feat. Van Morrison) - Stereo Version,Them,0.703,129.118,0.641,0.00546,0.722
385,Song For Guy - Single Version,Elton John,0.189,122.569,0.459,0.00516,0.114
386,Build Me Up Buttercup,The Foundations,0.423,133.612,0.657,0.0,0.842
387,Jealous Guy - Remastered 2010,John Lennon,0.389,131.366,0.489,0.32,0.254
388,Big Yellow Taxi,Joni Mitchell,0.47,85.527,0.611,0.0,0.97
389,Sir Duke,Stevie Wonder,0.568,106.938,0.588,0.0,0.952
390,Do You Love Me,The Contours,0.808,150.768,0.62,0.0,0.788
391,Perfect Day,Lou Reed,0.267,144.799,0.4,0.00734,0.0872
392,Don't Speak,No Doubt,0.707,76.05,0.522,2.04e-05,0.572
393,New Year's Day - Remastered 2008,U2,0.836,133.468,0.539,0.062,0.647
394,Blackbird - Remastered,The Beatles,0.127,93.699,0.686,1.41e-05,0.372
395,"What'd I Say, Pt. 1 & 2",Ray Charles,0.681,88.385,0.54,0.0,0.794
396,All Shook Up,Elvis Presley,0.668,73.851,0.665,0.0,0.938
397,I'll Take You There,The Staple Singers,0.595,101.632,0.846,1.96e-06,0.78
398,I Can See For Miles,The Who,0.804,130.838,0.354,2.29e-05,0.211
399,Great Balls of Fire,Jerry Lee Lewis,0.627,79.567,0.592,0.0,0.909
400,All Right Now,Free,0.484,119.993,0.781,0.000138,0.804
401,Foxey Lady,Jimi Hendrix,0.847,98.096,0.507,0.237,0.566
402,In The Still Of The Nite,The Five Satins,0.33,72.428,0.531,0.0,0.416
403,Sweet Jane - Full Length Version; 2015 Remaster,The Velvet Underground,0.637,105.205,0.619,0.0,0.936
404,It's Not Unusual,Tom Jones,0.716,184.499,0.346,0.0,0.904
405,Chapel of Love,The Dixie Cups,0.354,124.63,0.593,0.0,0.793
406,Return To Innocence,Enigma,0.584,88.026,0.476,0.0,0.417
407,Changes - 2015 Remaster,David Bowie,0.308,114.719,0.547,0.0,0.41
408,It's Too Late,Carole King,0.441,208.282,0.45,0.00562,0.811
409,Summer Of '69,Bryan Adams,0.843,139.136,0.507,0.0,0.704
410,You Keep Me Hangin' On,The Supremes,0.612,127.647,0.682,0.0,0.845
411,At Last - Single Version,Etta James,0.326,174.794,0.168,0.0006,0.322
412,Wuthering Heights,Kate Bush,0.392,124.572,0.481,0.0452,0.52
413,Chain Gang,Sam Cooke,0.724,131.821,0.703,0.0,0.963
414,Da Doo Ron Ron (When He Walked Me Home),The Crystals,0.797,148.835,0.535,3.42e-05,0.613
415,Hungry Heart,Bruce Springsteen,0.894,109.823,0.641,0.009,0.972
416,Band On The Run - Remastered 2010,Paul McCartney,0.601,124.966,0.479,0.00142,0.669
417,Sexual Healing,Marvin Gaye,0.601,94.382,0.805,0.000129,0.746
418,Runaround Sue - Remastered 1991,Dion,0.567,78.227,0.544,3.85e-06,0.559
419,Who Do You Love - Single Version,Bo Diddley,0.911,112.681,0.644,0.0,0.682
420,Satellite of Love,Lou Reed,0.502,121.861,0.458,5.51e-06,0.571
421,I Still Haven't Found What I'm Looking For,U2,0.786,100.861,0.565,0.00226,0.627
422,(Just Like) Starting Over,John Lennon,0.79,99.104,0.701,6.06e-05,0.421
423,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,0.498,116.271,0.58,0.0,0.111
424,Moondance - 2013 Remaster,Van Morrison,0.282,67.409,0.606,8.3e-06,0.563
425,"My Favorite Things, Pt. 1 - Single Version",John Coltrane,0.257,164.4,0.296,3.7e-05,0.26
426,Love Is Strange,Mickey & Sylvia,0.301,121.694,0.57,8.23e-05,0.808
427,Should I Stay or Should I Go - Remastered,The Clash,0.833,113.375,0.742,0.0,0.816
428,"Shake, Rattle and Roll",Big Joe Turner,0.366,155.298,0.601,4.91e-05,0.902
429,Alone Again (Naturally),Gilbert O'Sullivan,0.464,171.762,0.558,0.000133,0.559
430,Voodoo Child (Slight Return),Jimi Hendrix,0.91,175.561,0.214,0.00839,0.447
431,Strawberry Fields Forever - Remastered,The Beatles,0.502,97.871,0.39,0.000138,0.289
432,Mr. Tambourine Man,The Byrds,0.47,120.336,0.456,3.76e-05,0.639
433,Lola - Remastered,The Kinks,0.839,151.842,0.468,0.461,0.935
434,Honesty,Billy Joel,0.265,135.476,0.552,0.0,0.212
435,Gimme Shelter,The Rolling Stones,0.616,118.65,0.63,0.0408,0.509
436,Redemption Song,Bob Marley & The Wailers,0.256,115.871,0.671,0.0,0.694
437,Don't Worry Baby,The Beach Boys,0.517,121.164,0.53,0.0,0.801
438,Everyday - Single Version,Buddy Holly,0.255,135.346,0.731,0.0,0.564
439,Where Did Our Love Go - Stereo Version,The Supremes,0.54,134.676,0.562,3.86e-06,0.793
440,Don't Dream It's Over,Crowded House,0.752,81.917,0.451,0.000202,0.358
441,Another Day in Paradise - 2016 Remaster,Phil Collins,0.565,101.967,0.78,0.00269,0.365
442,Never Tear Us Apart,INXS,0.613,96.6,0.664,0.000128,0.193
443,Comfortably Numb - 2011 Remastered Version,Pink Floyd,0.366,127.167,0.472,0.308,0.171
444,What Becomes Of The Brokenhearted,Jimmy Ruffin,0.423,98.623,0.715,0.0,0.596
445,Wichita Lineman - Remastered 2001,Glen Campbell,0.392,172.312,0.192,0.000199,0.391
446,Piano Man,Billy Joel,0.477,179.239,0.334,4.17e-06,0.405
447,Back In Black,AC/DC,0.7,188.386,0.31,0.00965,0.763
448,96 Tears,? & The Mysterians,0.556,123.627,0.656,1.88e-05,0.833
449,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,0.662,121.154,0.383,0.0,0.138
450,Daniel,Elton John,0.477,132.071,0.688,4.93e-05,0.897
451,Up Where We Belong,Joe Cocker,0.304,139.862,0.631,2.5e-05,0.25
452,Jersey Girl,Tom Waits,0.393,175.197,0.334,0.0996,0.239
453,"Get Up, Stand Up - Single Version",Bob Marley & The Wailers,0.676,80.328,0.742,0.0,0.882
454,Mr. Jones,Counting Crows,0.814,141.606,0.58,1.8e-06,0.722
455,A Change Is Gonna Come,Sam Cooke,0.4,169.683,0.214,0.0,0.508
456,Dust in the Wind,Kansas,0.322,93.503,0.475,0.00056,0.387
457,Je t'aime moi non plus,Serge Gainsbourg,0.426,82.881,0.461,0.000879,0.553
458,I Will Survive - Single Version,Gloria Gaynor,0.829,115.904,0.773,0.00349,0.63
459,Spanish Flea,Herb Alpert & The Tijuana Brass,0.53,81.673,0.832,0.956,0.867
460,Words,Bee Gees,0.287,81.026,0.316,4e-06,0.224
461,Smooth (feat. Rob Thomas),Santana,0.923,115.996,0.609,4.73e-06,0.961
462,"Endless Love - From ""The Endless Love"" Soundtrack",Lionel Richie,0.325,93.49,0.438,0.000208,0.223
463,True Colors,Cyndi Lauper,0.207,171.282,0.397,3.07e-05,0.268
464,Got My Mind Set On You - Remastered 2004,George Harrison,0.854,149.206,0.767,2.03e-06,0.963
465,The Last Time - Remastered 2002,The Rolling Stones,0.926,167.435,0.329,0.852,0.385
466,Forever Young,Alphaville,0.483,136.822,0.489,0.0028,0.333
467,I Got You (I Feel Good),James Brown & The Famous Flames,0.475,71.826,0.654,2.96e-06,0.684
468,"Ruby, Don't Take Your Love To Town",Kenny Rogers & The First Edition,0.35,108.977,0.667,0.123,0.937
469,We've Only Just Begun,Carpenters,0.287,86.467,0.373,9.41e-06,0.317
470,Riders on the Storm,The Doors,0.722,103.885,0.549,0.0138,0.716
471,Wild World,Yusuf / Cat Stevens,0.508,151.867,0.484,0.000791,0.554
472,Sweet Emotion,Aerosmith,0.76,99.437,0.38,0.0294,0.491
473,Good Times,CHIC,0.657,110.596,0.87,0.0102,0.893
474,Since I Don't Have You,The Skyliners,0.522,142.538,0.286,0.0,0.564
475,War Pigs,Black Sabbath,0.612,91.499,0.464,0.00559,0.496
476,Hit the Road Jack,Ray Charles,0.618,172.741,0.613,0.0,0.94
477,Angel Of The Morning,Juice Newton,0.233,75.174,0.456,6.42e-05,0.424
478,These Boots Are Made For Walkin',Nancy Sinatra,0.392,82.742,0.74,1.11e-06,0.387
479,Good Golly Miss Molly,Little Richard,0.873,166.189,0.557,0.00021,0.967
480,Don't Know Why,Norah Jones,0.198,88.174,0.732,1.1e-05,0.618
481,Anarchy In The UK,Sex Pistols,0.949,134.118,0.359,0.000396,0.212
482,"Hello, I Love You",The Doors,0.554,117.835,0.597,0.0,0.963
483,"Oxygene, Pt. 4",Jean-Michel Jarre,0.755,188.929,0.432,0.595,0.656
484,Soul Man,Sam & Dave,0.818,114.949,0.672,4.95e-06,0.727
485,Ode To Billie Joe,Bobbie Gentry,0.189,120.142,0.637,0.0,0.695
486,Dizzy,Tommy Roe,0.454,101.895,0.792,0.0027,0.617
487,Cecilia,Simon & Garfunkel,0.876,102.762,0.755,5.17e-06,0.954
488,With A Little Help From My Friends - Remastered,The Beatles,0.515,112.035,0.705,0.0,0.803
489,Night Fever,Bee Gees,0.795,109.122,0.733,0.000948,0.892
490,Maybellene - Single Version,Chuck Berry,0.768,117.518,0.758,0.0,0.753
491,Clair,Gilbert O'Sullivan,0.518,105.635,0.75,0.0,0.612
492,Rolling in the Deep,Adele,0.77,104.948,0.73,0.0,0.507
493,Kiss,Prince,0.271,111.485,0.898,0.00138,0.742
494,(Don't Fear) The Reaper,Blue Öyster Cult,0.927,141.466,0.333,0.000208,0.385
495,Beautiful,Christina Aguilera,0.573,76.19,0.456,3.05e-06,0.0992
496,Ordinary World,Duran Duran,0.652,140.124,0.472,1.12e-05,0.401
497,Crocodile Rock,Elton John,0.8,149.91,0.621,1.51e-05,0.968
498,Chasing Cars,Snow Patrol,0.595,104.011,0.56,6.47e-05,0.144
499,Baba O'Riley,The Who,0.724,117.292,0.489,0.185,0.15
500,El Condor Pasa (If I Could),Simon & Garfunkel,0.214,147.795,0.33,0.0701,0.275
501,Top Of The World,Carpenters,0.343,184.301,0.379,0.0,0.694
502,People Get Ready - Single Version,The Impressions,0.227,143.346,0.423,0.000242,0.37
503,Where Have All the Flowers Gone?,Pete Seeger,0.188,134.367,0.388,0.0425,0.452
504,Help! - Remastered,The Beatles,0.725,95.003,0.534,0.0,0.763
505,Leaving on a Jet Plane,John Denver,0.279,132.939,0.486,0.0,0.469
506,Green Onions,Booker T. & the M.G.'s,0.514,136.837,0.816,0.949,0.912
507,Nights In White Satin - Single Version,The Moody Blues,0.346,79.026,0.21,0.336,0.22
508,If You Don't Know Me by Now (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,0.371,93.681,0.467,6.67e-05,0.478
509,I Started A Joke,Bee Gees,0.464,144.775,0.31,8.94e-06,0.431
510,Pride (In The Name Of Love) - Remastered 2009,U2,0.843,105.701,0.458,0.000296,0.713
511,California Girls - Remix/Remastered,The Beach Boys,0.802,115.46,0.459,1.07e-06,0.843
512,Changes,Black Sabbath,0.238,81.264,0.289,2.73e-05,0.187
513,Paper Planes,M.I.A.,0.848,172.247,0.447,7.45e-05,0.485
514,Blinded by the Light - Single Edit,Manfred Mann's Earth Band,0.56,140.511,0.593,0.00369,0.577
515,Long Tall Sally,Little Richard,0.635,183.665,0.415,0.0,0.842
516,Get It On,T. Rex,0.878,126.59,0.728,0.856,0.911
517,"I Can't Help Myself (Sugar Pie, Honey Bunch) - Single Version (Mono)",Four Tops,0.784,127.916,0.682,0.0,0.969
518,Hard to Say I'm Sorry / Get Away - 2006 Remaster,Chicago,0.57,140.974,0.398,0.00125,0.234
519,Here I Go Again,Whitesnake,0.877,92.975,0.484,0.00017,0.687
520,We Shall Overcome - Live,Joan Baez,0.188,96.832,0.348,0.00314,0.174
521,Lucy In The Sky With Diamonds - Remastered,The Beatles,0.325,65.09,0.311,0.0,0.668
522,With Arms Wide Open,Creed,0.683,140.266,0.323,0.0,0.19
523,Angie - Remastered 2009,The Rolling Stones,0.554,136.302,0.429,0.000152,0.407
524,Leader Of The Pack,The Shangri-Las,0.557,116.512,0.421,0.0,0.344
525,The Letter,The Box Tops,0.428,139.434,0.638,0.0,0.901
526,Summertime,Billie Holiday,0.22,99.652,0.623,2.2e-06,0.655
527,All the Young Dudes,Mott The Hoople,0.493,77.55,0.239,1.14e-06,0.457
528,I Want To Hold Your Hand - Remastered,The Beatles,0.703,130.915,0.496,2.08e-06,0.936
529,Change the World,Eric Clapton,0.558,96.887,0.721,0.00563,0.542
530,(They Long To Be) Close To You,Carpenters,0.233,89.044,0.528,0.000108,0.208
531,Losing My Religion,R.E.M.,0.852,125.632,0.664,0.0,0.807
532,Brown Eyed Girl,Van Morrison,0.583,150.572,0.491,0.0,0.907
533,A Hard Day's Night - Remastered,The Beatles,0.805,138.514,0.59,0.0,0.797
534,For Once In My Life,Stevie Wonder,0.588,109.394,0.597,0.0,0.831
535,Do They Know It's Christmas? - 1984 Version,Band Aid,0.642,115.412,0.599,3.33e-05,0.349
536,"Reach Out, I'll Be There",Four Tops,0.79,119.566,0.622,0.0,0.73
537,Do You Want To Dance,Bobby Freeman,0.438,155.537,0.625,3.7e-05,0.957
538,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,0.826,103.564,0.703,0.00629,0.945
539,London Calling - Remastered,The Clash,0.801,133.763,0.651,0.0,0.776
540,White Room,Cream,0.576,109.833,0.555,0.00459,0.495
541,Keep A Knockin,Little Richard,0.926,170.467,0.335,3.13e-06,0.948
542,S.O.S.,ABBA,0.723,125.102,0.417,0.000942,0.473
543,Instant Karma! (We All Shine On) - Remastered 2010,John Lennon,0.933,119.933,0.625,0.00149,0.145
544,Centerfold,The J. Geils Band,0.677,114.37,0.653,0.0,0.888
545,Girls Just Want to Have Fun,Cyndi Lauper,0.788,120.465,0.707,0.000571,0.746
546,I Was Made For Lovin' You,KISS,0.852,128.374,0.768,7.45e-05,0.867
547,Everyday People,Sly & The Family Stone,0.497,114.523,0.807,0.0323,0.765
548,Invisible Touch - Remastered 2007,Genesis,0.94,131.037,0.623,0.00184,0.837
549,The Fish Cheer & I-Feel-Like-I’m-Fixin’-To-Die Rag,Country Joe & The Fish,0.46,110.639,0.623,1.56e-05,0.736
550,Then He Kissed Me,The Crystals,0.682,135.917,0.44,3.33e-05,0.626
551,You Shook Me All Night Long,AC/DC,0.767,127.361,0.532,0.000513,0.755
552,Honky Tonk Women,The Rolling Stones,0.789,119.628,0.562,0.0253,0.966
553,"Whatever Will Be, Will Be (Que Sera, Sera) (with Frank DeVol & His Orchestra) - Single Version",Doris Day,0.338,175.575,0.4,0.0,0.72
554,On the Road Again - Live,Willie Nelson,0.715,111.036,0.714,0.00567,0.841
555,Mack the Knife,Bobby Darin,0.529,82.755,0.549,0.0,0.464
556,The Living Years,Mike & The Mechanics,0.429,97.893,0.527,0.0,0.277
557,Friday On My Mind,The Easybeats,0.991,95.105,0.374,0.000719,0.51
558,Somewhere Only We Know,Keane,0.665,172.004,0.448,2.55e-05,0.304
559,We Will Rock You - Remastered,Queen,0.497,81.308,0.692,0.0,0.475
560,That's the Way (I Like It) - Edit,KC & The Sunshine Band,0.9,108.698,0.656,0.00142,0.947
561,Money - 2011 Remastered Version,Pink Floyd,0.537,124.193,0.469,0.00201,0.783
562,Crimson & Clover,Tommy James & The Shondells,0.692,82.499,0.408,0.0255,0.684
563,Crying,Roy Orbison,0.293,96.685,0.35,8.21e-06,0.162
564,Love Will Tear Us Apart,Joy Division,0.956,146.754,0.443,0.825,0.909
565,No One Knows,Queens of the Stone Age,0.584,170.411,0.509,9.96e-05,0.685
566,While My Guitar Gently Weeps - Remastered,The Beatles,0.654,115.0,0.453,0.00395,0.702
567,Beautiful Day,U2,0.928,136.258,0.536,0.00134,0.389
568,Everybody Needs Somebody to Love,Solomon Burke,0.543,75.519,0.629,0.0,0.858
569,Sloop John B - Remastered,The Beach Boys,0.745,125.575,0.567,0.0,0.903
570,Guantanamera,The Sandpipers,0.257,205.852,0.318,0.00295,0.647
571,"Show Me Heaven - From ""Days Of Thunder"" Soundtrack",Maria McKee,0.495,155.884,0.522,0.000176,0.513
572,Rave On,Buddy Holly,0.706,159.525,0.547,1.26e-06,0.963
573,Jambalaya (On The Bayou) - Single Version,Hank Williams,0.192,162.946,0.517,3.01e-06,0.894
574,"Yeh, Yeh",Georgie Fame & The Blue Flames,0.543,88.582,0.618,0.0,0.649
575,(Everything I Do) I Do It For You,Bryan Adams,0.363,131.224,0.52,1.13e-05,0.273
576,Rhinestone Cowboy,Glen Campbell,0.437,114.973,0.687,8.18e-05,0.74
577,I Love Rock 'N Roll,Joan Jett & The Blackhearts,0.716,94.379,0.535,0.0,0.901
578,Joy To The World,Three Dog Night,0.782,129.1,0.673,6.19e-05,0.975
579,Need You Tonight,INXS,0.61,108.698,0.793,0.487,0.781
580,Magic,Pilot,0.588,203.145,0.393,0.0,0.728
581,Dream On,Aerosmith,0.433,160.9,0.307,9.08e-05,0.224
582,Killing In The Name,Rage Against The Machine,0.833,88.785,0.466,0.0,0.661
583,Good Lovin' - Single Version,The Young Rascals,0.507,196.494,0.252,0.00057,0.816
584,Cupid,Sam Cooke,0.433,120.471,0.485,0.0,0.825
585,If You Wanna Be Happy,Jimmy Soul,0.875,93.242,0.639,1.18e-05,0.873
586,You Sexy Thing,Hot Chocolate,0.734,105.854,0.791,0.00165,0.962
587,Holding Back the Years - 2008 Remaster,Simply Red,0.514,86.035,0.707,0.000159,0.524
588,Hero,Mariah Carey,0.378,119.987,0.501,0.0,0.178
589,Yellow,Coldplay,0.661,173.372,0.429,0.000121,0.285
590,Dancing In The Moonlight,King Harvest,0.719,136.153,0.653,0.0,0.682
591,Money For Nothing,Dire Straits,0.667,134.219,0.666,0.0005,0.679
592,I Only Have Eyes for You,The Flamingos,0.313,88.554,0.552,0.0017,0.303
593,Sunny Afternoon - Mono Mix,The Kinks,0.535,124.224,0.564,0.0,0.463
594,Sound and Vision - 1999 Remaster,David Bowie,0.732,106.213,0.657,0.412,0.835
595,Can't Take My Eyes off You,Frankie Valli,0.764,123.821,0.575,1.07e-05,0.536
596,Kiss from a Rose,Seal,0.532,131.741,0.583,0.0,0.223
597,Chariots Of Fire,Vangelis,0.277,135.925,0.446,0.786,0.0706
598,September,"Earth, Wind & Fire",0.832,125.926,0.697,0.00131,0.979
599,Sailing,Rod Stewart,0.374,128.56,0.43,0.379,0.191
600,Wonderful Life,Black,0.521,106.055,0.72,0.36,0.823
601,Amazing Grace,Judy Collins,0.263,87.747,0.192,0.0,0.196
602,Come As You Are,Nirvana,0.824,120.125,0.5,0.00161,0.539
603,Hello,Lionel Richie,0.222,61.648,0.424,0.0,0.0606
604,Wish You Were Here - 2011 Remastered Version,Pink Floyd,0.262,122.883,0.481,0.0114,0.375
605,Carry on Wayward Son,Kansas,0.786,126.755,0.482,8.88e-05,0.793
606,Un-Break My Heart,Toni Braxton,0.426,110.018,0.625,0.0,0.112
607,Midnight Train to Georgia,Gladys Knight & The Pips,0.477,89.724,0.579,0.0,0.537
608,Speed of Sound,Coldplay,0.898,123.067,0.514,0.0345,0.353
609,Baby Can I Hold You,Tracy Chapman,0.422,74.375,0.692,0.0,0.468
610,It Never Rains in Southern California,Albert Hammond,0.565,116.61,0.626,0.0,0.924
611,Shakin' All Over - 2004 Remaster,Johnny Kidd & The Pirates,0.672,125.227,0.772,1.22e-05,0.694
612,Watching The Detectives - Single Version,Elvis Costello,0.358,133.462,0.795,1.85e-05,0.8
613,Can't Buy Me Love - Remastered,The Beatles,0.677,170.72,0.483,0.0,0.842
614,The Way It Is,Bruce Hornsby and the Range,0.814,111.04,0.574,0.0546,0.495
615,Stressed Out,Twenty One Pilots,0.637,169.977,0.734,2.29e-05,0.648
616,Love is Blue,Paul Mauriat,0.499,104.361,0.482,0.899,0.281
617,My Sharona,The Knack,0.7,147.245,0.586,0.00125,0.897
618,Wonderwall,Oasis,0.852,174.319,0.404,0.0,0.482
619,Mad World,Tears For Fears,0.902,118.721,0.646,0.0285,0.936
620,Streets of London,Ralph McTell,0.295,155.531,0.396,7.6e-05,0.187
621,How You Remind Me,Nickelback,0.764,172.094,0.446,0.0,0.543
622,The Boxer,Simon & Garfunkel,0.488,93.017,0.439,0.000339,0.629
623,Bring Me To Life,Evanescence,0.946,189.892,0.312,2.93e-06,0.297
624,Stuck In The Middle With You,Stealers Wheel,0.74,124.463,0.749,0.000569,0.962
625,Let's Dance - 2002 Remaster,David Bowie,0.641,114.696,0.654,0.00321,0.794
626,White Wedding - Pt. 1 / Remastered 2002,Billy Idol,0.767,147.347,0.656,0.00165,0.747
627,Angels,Robbie Williams,0.594,150.22,0.429,4.95e-06,0.236
628,At The Hop,Danny & The Juniors,0.864,194.875,0.405,2.12e-05,0.888
629,Nothing Else Matters,Metallica,0.362,142.352,0.553,6.01e-06,0.158
630,Owner of a Lonely Heart,Yes,0.798,125.061,0.744,0.00367,0.89
631,Dreamer - Remastered,Supertramp,0.423,147.815,0.664,0.0202,0.816
632,Because the Night,Patti Smith,0.763,123.539,0.466,0.0,0.473
633,Wild Horses,The Rolling Stones,0.389,139.506,0.432,0.0107,0.158
634,Don't Forget To Remember,Bee Gees,0.452,82.807,0.387,1.38e-06,0.466
635,By The Time I Get To Phoenix - Remastered 2001,Glen Campbell,0.336,176.66,0.218,1.61e-06,0.232
636,7 Seconds,Youssou N'Dour,0.702,154.198,0.68,1.79e-06,0.509
637,If I Had a Hammer,Trini Lopez,0.933,85.505,0.468,0.0,0.867
638,Free Bird,Lynyrd Skynyrd,0.852,117.418,0.279,0.076,0.438
639,Uptown Girl,Billy Joel,0.943,128.992,0.701,0.0,0.791
640,The Scientist,Coldplay,0.442,146.277,0.557,1.46e-05,0.213
641,I Want You Back,The Jackson 5,0.592,98.201,0.672,0.00393,0.927
642,Speedy Gonzales,Pat Boone,0.447,146.845,0.589,0.0,0.789
643,One Day I'll Fly Away,Randy Crawford,0.358,77.784,0.489,0.018,0.422
644,I Try,Macy Gray,0.642,76.403,0.593,0.000582,0.736
645,Higher Love - Full Album Version,Steve Winwood,0.78,98.699,0.696,0.149,0.954
646,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,0.323,110.962,0.65,0.0,0.276
647,Ticket To Ride - Remastered,The Beatles,0.85,123.419,0.519,0.0,0.749
648,Eye In The Sky,The Alan Parsons Project,0.417,111.928,0.823,0.00098,0.522
649,Price Tag,Jessie J,0.831,175.015,0.636,3.85e-06,0.668
650,Red Red Wine,UB40,0.468,89.119,0.857,1.32e-05,0.843
651,Drops of Jupiter (Tell Me),Train,0.64,79.297,0.468,0.0,0.499
652,Common People,Pulp,0.839,144.938,0.319,7.99e-05,0.538
653,99 Luftballons,Nena,0.438,193.1,0.466,5.62e-06,0.587
654,Orinoco Flow - 2009 Remaster,Enya,0.466,114.999,0.692,0.109,0.561
655,It's a Heartache,Bonnie Tyler,0.707,118.875,0.54,1.24e-06,0.494
