,Title,Artist,Energy,Tempo,Danceability,Instrumentalness,Valence,Cluster
62,What A Wonderful World,Louis Armstrong,0.373,77.59100000000001,0.273,0.000241,0.147,3
63,You Really Got Me - Remastered,The Kinks,0.948,137.29399999999998,0.588,7.92e-05,0.9620000000000001,6
64,Baby Love - Juke Box Single Version,The Supremes,0.698,135.821,0.594,0.0,0.649,1
65,Morning Has Broken,Yusuf / Cat Stevens,0.321,133.126,0.424,0.0196,0.405,5
66,House of the Rising Sun,The Animals,0.484,117.363,0.316,0.00445,0.299,5
67,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,0.457,92.03299999999999,0.606,2.5300000000000002e-05,0.813,0
68,Oye Como Va,Santana,0.379,128.399,0.736,0.345,0.948,0
69,Here Comes The Sun - Remastered,The Beatles,0.54,129.171,0.557,0.00248,0.39399999999999996,1
70,Just Like a Woman,Bob Dylan,0.441,115.17399999999999,0.564,0.0,0.469,1
71,Bad Moon Rising,Creedence Clearwater Revival,0.762,89.837,0.647,3.35e-06,0.93,6
72,I Can't Stop Loving You,Ray Charles Orchestra,0.366,80.207,0.34,0.0,0.414,3
73,Summertime Blues,Eddie Cochran,0.82,155.968,0.721,0.00032599999999999996,0.966,6
74,Born To Be Wild,Steppenwolf,0.71,145.928,0.43799999999999994,0.537,0.53,4
75,White Christmas,Bing Crosby,0.249,92.86,0.217,0.0474,0.237,3
76,Nothing Compares 2 U - 2009 Remaster,Sinéad O'Connor,0.488,119.95100000000001,0.527,0.000131,0.131,1
77,Always On My Mind,Willie Nelson,0.261,73.336,0.518,0.00106,0.2,3
78,Piece of My Heart,Big Brother & The Holding Company,0.727,160.82,0.44299999999999995,0.00014099999999999998,0.5660000000000001,2
79,I Will Always Love You,Whitney Houston,0.214,66.98,0.306,5.3e-06,0.10800000000000001,3
80,Highway to Hell,AC/DC,0.9129999999999999,115.728,0.574,0.00158,0.423,1
81,Walk on By,Dionne Warwick,0.384,98.39299999999999,0.691,3.55e-06,0.618,0
82,You Can't Hurry Love,The Supremes,0.708,194.95,0.46,0.0,0.542,2
83,Louie Louie,The Kingsmen,0.7090000000000001,122.39399999999999,0.623,0.0,0.948,6
84,Knockin' On Heaven's Door,Bob Dylan,0.396,140.208,0.513,0.177,0.22899999999999998,5
85,Suspicious Minds,Elvis Presley,0.382,116.557,0.48700000000000004,4.74e-06,0.7140000000000001,0
86,She's A Rainbow - Stereo Full Version / With Intro,The Rolling Stones,0.7809999999999999,109.132,0.466,0.011000000000000001,0.626,7
87,Black Magic Woman / Gypsy Queen,Santana,0.462,124.03299999999999,0.46399999999999997,0.527,0.557,4
88,Walk On the Wild Side,Lou Reed,0.318,104.522,0.575,0.000202,0.385,3
