,'70s,'80s,'90s,'00s,'10s
65,Dionne Warwick,Peaches & Herb,Technotronic,Akon Featuring Eminem,Nicki Minaj
66,B.B. King,Eagles,Gloria Estefan,Ray J,Miley Cyrus
67,Glen Campbell,Mickey Gilley,Faith No More,Fall Out Boy,Chris Brown Featuring Tyga & Kevin McCall
68,Aretha Franklin,Pat Benatar,Mariah Carey,Chris Brown Featuring Lil Wayne,Britney Spears
69,Song,Eddie Rabbitt,Cher,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Shontelle
70,Song,Supertramp,Milli Vanilli,Bon Jovi,"Drake Featuring Kanye West, Lil Wayne & Eminem"
71,Song,Fleetwood Mac,Dino,JoJo,Boys Like Girls Featuring Taylor Swift
72,Song,Boz Scaggs,Black Box,Busta Rhymes,3OH!3 Featuring Ke$ha
73,Song,Neil Diamond,Billy Joel,Daddy Yankee,Kelly Clarkson
74,Song,George Benson,Babyface,Beyonce Featuring Jay Z,The Black Eyed Peas
75,Song,Anne Murray,Paul Young,Rascal Flatts,OneRepublic
76,Song,Kenny Rogers,Paula Abdul,Evanescence,Selena Gomez & The Scene
77,Song,Fleetwood Mac,The Cover Girls,Carrie Underwood,Alicia Keys
78,Song,Prince,Michael Bolton,Danity Kane,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross"
79,Song,The Charlie Daniels Band,Keith Sweat,Ciara Featuring Chamillionaire,"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne"
80,Song,Boz Scaggs,New Kids On The Block,Sean Paul,Sugarland
81,Song,Barry Manilow,Aerosmith,Blue October,Usher Featuring Plies
82,Song,Joe Walsh,KISS,Lifehouse,Usher
83,Song,Song,The Time,The Pussycat Dolls Featuring will.i.am,Taylor Swift
84,Song,Song,Biz Markie,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",Timbaland Featuring Drake
85,Song,Song,Motley Crue,Chris Brown,Beyonce
86,Song,Song,Jive Bunny & The Mastermixers,John Mayer,Kings Of Leon
87,Song,Song,Prince,Young Jeezy Featuring Akon,Carrie Underwood
88,Song,Song,Mellow Man Ace,The Black Eyed Peas,Sean Kingston & Justin Bieber
89,Song,Song,Kyper,Eminem,Lil Wayne Featuring Drake
90,Song,Song,Song,Madonna,Miranda Lambert
91,Song,Song,Song,Three 6 Mafia Featuring Young Buck & Eightball & MJG,The Band Perry
92,Song,Song,Song,Keyshia Cole,Paramore
93,Song,Song,Song,Ne-Yo,Lady Antebellum
94,Song,Song,Song,T.I.,Sara Bareilles
95,Song,Song,Song,P!nk,Daughtry
